Community Profile Data by Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Further explanation on Notes sheet,,,,,,Population Characteristics,,,,,,,,,,,,C&I Properties,General Housing Characteristics,,,,,,Units by Year Structure Built*,,,,,,,,,Units by Structure Type,,,,,,,,,Occupied Housing Units Primary Heating Fuels,,,,,,Means of Transportation to Work,,,,,,,,
Municipality,County,Muni and County,Year,Square Miles,Mun Inde,Population ,% White ,% Black ,"% Asian, Pacific Islander, and Hawaiian ",% Other,% Hispanic or Latino Origin*,Households,Median Household Income,Percent of Population in Poverty,Low and Moderate Income*,NJ DCA MRI Score*,NJ DCA MRI Rank*,Commercial & Industrial Properties  (2018 Tax Data),Total Housing Units*,Total Occupied Housing Units,% Occupied housing units ,% Owner-occupied,% Renter-occupied,<75% Occupied*,2010 or later,2000 to 2009,1990 to 1999,1980 to 1989,1970 to 1979,1960 to 1969,1950 to 1959,1940 to 1949,1939 or earlier,"1-unit, detached","1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more,Mobile home,"Boat, RV, etc.",Utility gas,Electricity,"Bottled, tank, or LP gas","Fuel oil, kerosene, etc.",Wood,Other or no heating fuel,Total Workers,"Car, truck, or van",Public transport,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
Beachwood borough,Ocean,"Beachwood borough, Ocean",2015,2.8,27,"11,128",94%,1%,2%,3%,7%,"3,714","$71,540",8.8%,,29,209,79,"3,939","3,714",94%,85%,15%,,54,197,496,672,983,574,457,153,353,"3,833",6,33,45,10,0,12,0,0,84%,4%,0%,10%,0%,1%,"5,580",93%,1%,1%,0%,0%,1%,1%,3%
Beachwood borough,Ocean,"Beachwood borough, Ocean",2020,2.8,27,"11,274",90%,3%,0%,7%,12%,"3,992","$81,658",5.6%,,32,184,79,"4,164","3,992",96%,91%,10%,,108,136,488,908,"1,195",527,326,221,255,"4,048",47,30,34,0,0,0,5,0,83%,5%,0%,11%,0%,0%,"5,610",94%,0%,0%,0%,1%,0%,1%,4%
Bedminster township,Somerset,"Bedminster township, Somerset",2015,26.4,28,"8,251",88%,2%,8%,3%,6%,"4,098","$96,644",4.0%,,15,470,130,"4,476","4,098",92%,80%,20%,,5,199,685,"2,769",189,133,208,32,256,"1,274","1,584",34,331,431,681,136,5,0,60%,26%,3%,10%,0%,1%,"4,961",90%,1%,0%,0%,0%,3%,0%,6%
Bedminster township,Somerset,"Bedminster township, Somerset",2020,26.4,28,"8,042",88%,1%,6%,6%,10%,"4,061","$119,542",6.9%,,17,433,130,"4,331","4,061",94%,78%,22%,,36,44,764,"2,490",138,196,201,75,387,"1,346","1,434",55,165,471,558,302,0,0,65%,18%,2%,13%,1%,0%,"4,868",85%,1%,0%,0%,0%,1%,0%,12%
Belleville township,Essex,"Belleville township, Essex",2015,3.4,29,"36,178",56%,10%,12%,23%,45%,"12,979","$65,234",9.9%,,36,120,581,"13,951","12,979",93%,52%,48%,,24,259,531,"1,195","1,689","1,335","2,669","2,328","3,921","5,187",511,"2,936","1,474","1,214","1,341","1,238",30,20,75%,13%,2%,9%,0%,0%,"18,526",84%,11%,0%,0%,0%,3%,1%,1%
Belleville township,Essex,"Belleville township, Essex",2020,3.4,29,"36,340",61%,10%,10%,20%,48%,"12,871","$73,039",11.2%,,38,117,581,"13,945","12,871",92%,54%,46%,,227,269,297,899,"1,426","1,518","2,289","1,783","5,237","5,412",564,"3,501","1,395",785,"1,079","1,209",0,0,79%,9%,2%,7%,0%,2%,"18,665",85%,8%,0%,0%,0%,3%,1%,4%
Bellmawr borough,Camden,"Bellmawr borough, Camden",2015,3.1,30,"11,507",86%,1%,6%,6%,9%,"4,444","$50,784",14.3%,Yes,40,83,172,"4,805","4,444",93%,65%,35%,,7,306,112,146,291,840,"1,804",949,350,"2,999",816,189,88,52,159,486,16,0,85%,6%,1%,8%,0%,0%,"5,369",94%,3%,0%,0%,0%,1%,0%,1%
Bellmawr borough,Camden,"Bellmawr borough, Camden",2020,3.1,30,"11,375",78%,3%,10%,8%,13%,"4,491","$60,041",16.3%,Yes,44,73,172,"4,850","4,491",93%,60%,40%,,0,229,79,145,301,"1,470","1,437",781,408,"2,786",815,186,47,28,493,495,0,0,78%,16%,0%,5%,0%,1%,"5,374",89%,3%,0%,0%,0%,3%,0%,5%
Belmar borough,Monmouth,"Belmar borough, Monmouth",2015,1.5,31,"5,745",93%,3%,1%,3%,17%,"2,791","$62,083",9.7%,,28,226,155,"3,813","2,791",73%,49%,51%,Yes,12,328,140,72,595,408,541,183,"1,534","2,044",125,654,178,153,206,431,22,0,77%,18%,1%,4%,0%,0%,"3,212",82%,4%,0%,0%,4%,3%,0%,6%
Belmar borough,Monmouth,"Belmar borough, Monmouth",2020,1.5,31,"5,613",90%,5%,0%,5%,18%,"2,491","$79,473",11.0%,,30,214,155,"3,642","2,491",68%,45%,55%,Yes,105,295,149,194,632,405,634,307,921,"1,964",293,277,377,101,232,389,9,0,74%,24%,1%,1%,0%,0%,"3,010",87%,4%,2%,0%,1%,1%,0%,4%
Belvidere town,Warren,"Belvidere town, Warren",2015,1.5,32,"2,634",95%,1%,1%,3%,3%,"1,054","$56,221",8.4%,Yes,34,144,82,"1,176","1,054",90%,62%,38%,,0,8,51,99,43,104,171,45,655,826,38,67,105,41,68,31,0,0,13%,12%,4%,66%,4%,1%,"1,308",92%,1%,0%,0%,0%,4%,0%,3%
Belvidere town,Warren,"Belvidere town, Warren",2020,1.5,32,"2,573",95%,0%,1%,4%,8%,"1,116","$85,144",8.7%,,44,72,82,"1,187","1,116",94%,53%,47%,,0,8,66,73,71,71,150,83,665,657,50,261,102,57,9,51,0,0,30%,10%,2%,56%,1%,0%,"1,412",80%,1%,1%,0%,0%,14%,0%,4%
Bergenfield borough,Bergen,"Bergenfield borough, Bergen",2015,2.9,33,"27,339",45%,7%,27%,22%,29%,"8,972","$79,000",7.6%,,26,256,322,"9,385","8,972",96%,67%,33%,,4,262,458,381,644,"1,200","2,616","1,383","2,437","5,991",386,"1,430",379,410,272,509,8,0,85%,9%,1%,5%,0%,0%,"13,901",80%,13%,0%,0%,1%,3%,0%,3%
Bergenfield borough,Bergen,"Bergenfield borough, Bergen",2020,2.9,33,"27,375",55%,8%,26%,10%,27%,"9,037","$102,724",6.0%,,25,287,322,"9,376","9,037",96%,69%,32%,,193,262,138,579,686,"1,126","2,978","1,538","1,876","6,414",197,"1,339",460,239,293,434,0,0,84%,10%,3%,3%,0%,1%,"14,074",79%,14%,0%,0%,0%,2%,0%,4%
Berkeley Heights township,Union,"Berkeley Heights township, Union",2015,6.3,34,"13,339",87%,1%,11%,1%,6%,"4,403","$139,152",3.4%,,11,525,144,"4,641","4,403",95%,93%,7%,,0,305,465,265,337,"1,306","1,298",245,420,"4,028",275,124,132,0,41,41,0,0,88%,3%,2%,7%,0%,0%,"6,325",81%,11%,0%,0%,0%,2%,1%,5%
Berkeley Heights township,Union,"Berkeley Heights township, Union",2020,6.3,34,"13,321",84%,2%,11%,3%,6%,"4,443","$180,729",0.7%,,9,545,144,"4,671","4,443",95%,96%,4%,,94,192,570,247,532,"1,246","1,368",199,223,"4,131",406,0,10,15,0,109,0,0,92%,4%,1%,3%,0%,0%,"6,486",79%,9%,0%,0%,0%,0%,1%,11%
Berkeley township,Ocean,"Berkeley township, Ocean",2015,54.2,35,"41,480",93%,3%,1%,2%,6%,"20,388","$43,942",7.6%,Yes,34,138,239,"24,169","20,388",84%,88%,12%,,45,"1,848","2,883","8,047","6,985","1,957","1,398",403,603,"22,427",334,210,137,249,478,199,135,0,88%,7%,1%,4%,0%,0%,"13,842",93%,1%,0%,0%,0%,0%,0%,5%
Berkeley township,Ocean,"Berkeley township, Ocean",2020,54.2,35,"41,963",90%,2%,3%,5%,9%,"20,364","$54,244",7.4%,Yes,36,138,239,"24,000","20,364",85%,87%,13%,,550,"1,709","2,920","7,393","6,569","2,019","1,734",366,740,"22,297",361,138,152,370,406,121,155,0,88%,7%,1%,3%,0%,0%,"15,638",90%,1%,0%,0%,0%,1%,2%,5%
Berlin borough,Camden,"Berlin borough, Camden",2015,3.6,36,"7,618",87%,6%,1%,6%,5%,"2,635","$82,429",8.1%,,29,206,171,"2,895","2,635",91%,81%,19%,,33,482,603,146,466,308,257,165,435,"1,962",463,46,275,51,0,98,0,0,82%,11%,0%,7%,0%,0%,"3,301",89%,6%,1%,0%,0%,1%,0%,4%
Berlin borough,Camden,"Berlin borough, Camden",2020,3.6,36,"7,543",85%,9%,1%,5%,6%,"2,889","$96,065",3.1%,,24,301,171,"2,936","2,889",98%,84%,16%,,16,459,418,76,546,413,524,154,330,"2,097",336,34,388,56,0,25,0,0,83%,11%,0%,4%,0%,1%,"3,915",89%,3%,0%,0%,0%,1%,0%,6%
Berlin township,Camden,"Berlin township, Camden",2015,3.3,37,"5,380",80%,11%,6%,3%,6%,"1,975","$58,893",10.1%,,39,94,411,"2,110","1,975",94%,67%,33%,,106,138,150,175,394,302,365,125,355,"1,488",54,135,155,143,112,23,0,0,80%,14%,0%,6%,0%,0%,"2,579",86%,4%,2%,0%,0%,4%,2%,3%
Berlin township,Camden,"Berlin township, Camden",2020,3.3,37,"5,647",65%,14%,6%,15%,13%,"2,068","$75,985",7.4%,,40,95,411,"2,223","2,068",93%,72%,28%,,120,168,101,256,494,581,328,79,96,"1,728",122,59,38,42,185,49,0,0,84%,11%,0%,6%,0%,0%,"3,054",88%,4%,1%,0%,0%,2%,1%,4%
Bernards township,Somerset,"Bernards township, Somerset",2015,24.3,38,"26,983",80%,2%,16%,3%,4%,"9,577","$129,690",3.8%,,11,521,163,"9,929","9,577",97%,83%,17%,,7,"1,226","2,811","2,413",841,"1,245",540,288,558,"5,421","2,090",37,656,663,749,296,17,0,87%,7%,1%,5%,0%,0%,"12,327",84%,5%,0%,0%,0%,2%,0%,9%
Bernards township,Somerset,"Bernards township, Somerset",2020,24.3,38,"27,114",72%,2%,22%,3%,7%,"9,684","$151,973",4.4%,,13,515,163,"10,032","9,684",97%,83%,17%,,254,688,"2,546","2,936",755,"1,201",849,158,645,"5,803","1,911",50,658,695,529,361,25,0,84%,10%,1%,4%,0%,1%,"12,408",79%,7%,0%,0%,0%,1%,1%,13%
Bernardsville borough,Somerset,"Bernardsville borough, Somerset",2015,12.9,39,"7,786",85%,0%,5%,10%,14%,"2,804","$114,444",1.3%,,12,518,193,"3,105","2,804",90%,83%,18%,,45,267,148,322,267,286,490,268,"1,012","2,483",168,325,57,36,0,36,0,0,72%,7%,2%,19%,0%,0%,"4,004",80%,7%,0%,0%,2%,1%,0%,10%
Bernardsville borough,Somerset,"Bernardsville borough, Somerset",2020,12.9,39,"7,641",90%,0%,5%,5%,12%,"2,524","$161,655",3.8%,,11,526,193,"2,691","2,524",94%,87%,13%,,53,125,218,345,121,482,389,247,711,"2,269",130,116,33,19,47,77,0,0,70%,11%,0%,18%,0%,1%,"3,788",74%,5%,0%,0%,0%,6%,0%,14%
Bethlehem township,Hunterdon,"Bethlehem township, Hunterdon",2015,20.8,40,"3,922",99%,0%,1%,0%,5%,"1,364","$130,565",4.6%,,15,474,34,"1,453","1,364",94%,92%,8%,,10,109,221,270,423,52,71,17,280,"1,430",14,0,9,0,0,0,0,0,3%,9%,21%,60%,3%,3%,"2,113",88%,1%,0%,0%,0%,2%,0%,8%
Bethlehem township,Hunterdon,"Bethlehem township, Hunterdon",2020,20.8,40,"3,864",95%,0%,2%,3%,4%,"1,448","$139,306",3.2%,,14,493,34,"1,562","1,448",93%,94%,6%,,0,240,329,192,335,53,96,11,306,"1,546",16,0,0,0,0,0,0,0,2%,7%,30%,53%,7%,1%,"2,118",87%,0%,0%,1%,0%,0%,0%,12%
Beverly city,Burlington,"Beverly city, Burlington",2015,0.8,41,"2,569",63%,25%,0%,12%,4%,960,"$50,880",14.0%,Yes,50,40,65,"1,072",960,90%,69%,31%,,0,23,32,48,11,80,292,77,509,657,167,105,82,16,10,35,0,0,75%,11%,0%,13%,0%,1%,"1,104",91%,2%,0%,0%,1%,3%,1%,3%
Beverly city,Burlington,"Beverly city, Burlington",2020,0.8,41,"2,425",59%,24%,0%,16%,12%,822,"$78,611",12.8%,,57,28,65,"1,062",822,77%,73%,27%,,5,32,69,68,44,3,288,55,498,643,172,50,154,24,0,19,0,0,66%,20%,0%,13%,0%,1%,"1,147",88%,6%,0%,0%,1%,0%,0%,4%
Blairstown township,Warren,"Blairstown township, Warren",2015,30.8,42,"5,850",99%,1%,0%,1%,10%,"2,106","$84,717",3.0%,,21,362,129,"2,271","2,106",93%,83%,17%,,0,313,219,400,655,82,188,71,343,"2,100",38,122,0,0,0,0,11,0,4%,10%,8%,70%,5%,4%,"2,781",88%,0%,0%,0%,0%,6%,1%,6%
Blairstown township,Warren,"Blairstown township, Warren",2020,30.8,42,"5,727",95%,1%,1%,3%,4%,"2,092","$107,439",4.5%,,23,341,129,"2,411","2,092",87%,93%,8%,,9,206,455,461,559,343,87,0,291,"2,158",55,127,51,20,0,0,0,0,8%,16%,8%,65%,2%,0%,"2,520",88%,0%,0%,0%,0%,2%,0%,9%
Bloomfield township,Essex,"Bloomfield township, Essex",2015,5.4,43,"47,831",62%,18%,9%,11%,27%,"17,470","$72,840",8.0%,,30,196,706,"18,484","17,470",95%,55%,45%,,38,325,293,794,"1,298","1,922","3,342","2,500","7,972","8,343",480,"3,349","2,734",402,"1,042","2,123",11,0,75%,8%,2%,14%,0%,1%,"25,086",78%,16%,0%,0%,0%,3%,1%,3%
Bloomfield township,Essex,"Bloomfield township, Essex",2020,5.4,43,"49,733",59%,21%,9%,12%,29%,"18,965","$81,978",6.8%,,30,206,706,"19,912","18,965",95%,52%,48%,,"1,137",449,499,850,"1,458","1,971","2,837","2,422","8,289","8,446",700,"2,952","2,568",548,"1,142","3,556",0,0,79%,10%,2%,9%,0%,1%,"26,539",73%,16%,0%,0%,0%,2%,0%,8%
Bloomingdale borough,Passaic,"Bloomingdale borough, Passaic",2015,9.2,44,"7,933",96%,1%,2%,2%,14%,"2,866","$75,781",3.1%,,25,257,109,"2,929","2,866",98%,67%,33%,,23,40,133,205,502,573,530,252,671,"1,876",205,206,81,134,144,283,0,0,76%,12%,4%,7%,0%,1%,"4,047",93%,3%,0%,0%,0%,0%,0%,3%
Bloomingdale borough,Passaic,"Bloomingdale borough, Passaic",2020,9.2,44,"8,080",89%,5%,5%,2%,19%,"2,911","$97,386",16.1%,,28,235,109,"3,010","2,911",97%,68%,33%,,259,28,143,170,307,339,896,211,657,"2,066",134,265,25,107,128,285,0,0,74%,10%,2%,7%,4%,3%,"3,941",88%,3%,1%,0%,0%,0%,2%,5%
Bloomsbury borough,Hunterdon,"Bloomsbury borough, Hunterdon",2015,1.0,45,720,96%,2%,1%,1%,6%,302,"$76,071",5.3%,,27,240,21,321,302,94%,82%,18%,,0,3,31,35,13,32,45,26,136,272,11,19,9,7,0,0,3,0,15%,4%,8%,70%,2%,1%,388,96%,0%,0%,0%,0%,1%,0%,3%
Bloomsbury borough,Hunterdon,"Bloomsbury borough, Hunterdon",2020,1.0,45,786,92%,4%,1%,2%,1%,360,"$75,333",7.0%,,29,231,21,405,360,89%,68%,33%,,0,0,33,31,23,24,87,35,172,271,74,42,15,1,0,0,2,0,17%,6%,5%,72%,0%,0%,378,92%,2%,0%,0%,0%,0%,0%,6%
Bogota borough,Bergen,"Bogota borough, Bergen",2015,0.8,46,"8,329",66%,6%,10%,19%,42%,"2,878","$76,649",11.2%,,31,182,106,"2,946","2,878",98%,67%,33%,,0,18,73,65,117,363,501,370,"1,439","1,826",58,411,106,155,127,239,24,0,84%,5%,1%,9%,0%,1%,"4,013",72%,21%,0%,0%,0%,2%,0%,4%
Bogota borough,Bergen,"Bogota borough, Bergen",2020,0.8,46,"8,375",68%,13%,7%,12%,47%,"2,883","$99,107",4.1%,,28,245,106,"2,988","2,883",97%,73%,27%,,0,5,59,31,177,268,165,647,"1,636","2,002",153,523,40,40,104,116,10,0,79%,6%,7%,6%,0%,1%,"4,405",78%,17%,0%,0%,0%,1%,1%,3%
Boonton town,Morris,"Boonton town, Morris",2015,2.5,47,"8,422",86%,5%,4%,5%,13%,"3,248","$90,326",5.6%,,24,300,228,"3,454","3,248",94%,67%,33%,,4,95,277,144,238,300,471,207,"1,718","2,206",204,478,369,63,32,102,0,0,67%,9%,1%,21%,0%,1%,"4,676",88%,3%,0%,0%,0%,4%,0%,4%
Boonton town,Morris,"Boonton town, Morris",2020,2.5,47,"8,510",74%,6%,10%,10%,17%,"3,305","$85,211",6.4%,,26,276,228,"3,628","3,305",91%,58%,42%,,8,172,138,198,242,653,788,260,"1,169","2,045",244,753,211,142,114,119,0,0,70%,7%,3%,19%,0%,1%,"4,819",87%,2%,0%,0%,0%,4%,0%,7%
Boonton township,Morris,"Boonton township, Morris",2015,8.5,48,"4,339",92%,2%,5%,0%,3%,"1,561","$115,268",1.9%,,15,473,18,"1,621","1,561",96%,91%,9%,,10,91,240,174,139,179,307,184,297,"1,472",79,7,21,16,0,26,0,0,29%,3%,7%,56%,1%,3%,"2,014",84%,3%,0%,0%,0%,2%,1%,10%
Boonton township,Morris,"Boonton township, Morris",2020,8.5,48,"4,275",88%,1%,10%,1%,3%,"1,407","$145,050",1.9%,,15,471,18,"1,496","1,407",94%,93%,7%,,40,84,283,273,251,188,150,73,154,"1,316",76,0,10,0,0,94,0,0,37%,4%,8%,49%,1%,1%,"1,996",82%,5%,0%,0%,0%,1%,0%,12%
Bordentown city,Burlington,"Bordentown city, Burlington",2015,1.0,49,"3,903",82%,9%,3%,6%,6%,"1,797","$68,266",5.2%,,25,267,121,"2,062","1,797",87%,49%,51%,,11,77,41,55,145,242,246,147,"1,098",716,462,208,304,127,90,123,32,0,72%,14%,3%,11%,0%,0%,"2,219",90%,2%,0%,1%,1%,3%,0%,4%
Bordentown city,Burlington,"Bordentown city, Burlington",2020,1.0,49,"3,808",80%,7%,5%,7%,9%,"1,694","$82,863",5.9%,,28,248,121,"1,944","1,694",87%,59%,41%,,47,0,92,71,111,143,192,100,"1,188",686,418,227,243,90,134,146,0,0,72%,15%,1%,10%,0%,2%,"2,147",88%,1%,0%,2%,0%,1%,1%,8%
Bordentown township,Burlington,"Bordentown township, Burlington",2015,9.3,50,"11,566",77%,9%,9%,5%,9%,"4,231","$86,104",4.6%,,19,394,220,"4,504","4,231",94%,79%,21%,,27,"1,127",752,365,327,418,"1,066",255,167,"2,946",663,8,158,216,276,214,23,0,85%,9%,1%,4%,0%,1%,"5,918",92%,5%,0%,0%,0%,1%,0%,2%
Bordentown township,Burlington,"Bordentown township, Burlington",2020,9.3,50,"12,103",79%,8%,10%,4%,7%,"4,473","$96,342",2.5%,,21,369,220,"4,671","4,473",96%,74%,26%,,176,975,854,566,298,257,"1,231",175,139,"2,908",908,49,72,113,194,427,0,0,87%,10%,0%,2%,0%,1%,"6,005",93%,1%,0%,0%,0%,0%,1%,5%
Bound Brook borough,Somerset,"Bound Brook borough, Somerset",2015,1.7,51,"10,515",80%,5%,3%,12%,43%,"3,713","$62,263",10.2%,,35,133,229,"4,539","3,713",82%,54%,46%,,0,58,139,147,387,531,939,844,"1,494","1,932",542,775,779,220,114,167,10,0,89%,5%,1%,4%,0%,1%,"5,730",86%,6%,0%,0%,0%,3%,2%,3%
Bound Brook borough,Somerset,"Bound Brook borough, Somerset",2020,1.7,51,"10,254",72%,4%,4%,21%,51%,"3,582","$70,605",7.7%,,38,116,229,"4,067","3,582",88%,50%,50%,,567,26,209,228,297,303,642,588,"1,207","1,795",293,602,561,101,75,640,0,0,75%,18%,0%,4%,0%,3%,"5,545",80%,5%,1%,0%,1%,4%,3%,6%
Bradley Beach borough,Monmouth,"Bradley Beach borough, Monmouth",2015,0.6,52,"4,297",90%,3%,2%,6%,11%,"2,152","$61,682",9.6%,,31,178,104,"3,172","2,152",68%,44%,56%,Yes,46,257,238,294,372,267,195,304,"1,199","1,609",143,430,105,54,288,543,0,0,72%,19%,4%,3%,0%,1%,"2,147",82%,4%,0%,0%,4%,3%,0%,7%
Bradley Beach borough,Monmouth,"Bradley Beach borough, Monmouth",2020,0.6,52,"4,175",87%,4%,3%,5%,19%,"1,934","$78,452",8.5%,,33,174,104,"2,824","1,934",69%,45%,55%,Yes,115,273,72,236,380,180,383,313,872,"1,350",135,259,67,214,195,604,0,0,76%,21%,1%,2%,0%,0%,"2,339",73%,6%,0%,0%,0%,3%,2%,17%
Branchburg township,Somerset,"Branchburg township, Somerset",2015,20.3,53,"14,673",83%,6%,9%,2%,5%,"5,078","$124,306",3.8%,,14,500,368,"5,252","5,078",97%,87%,13%,,21,238,"1,365","1,415",986,559,311,77,280,"3,745",816,33,93,110,166,235,54,0,89%,3%,1%,7%,0%,0%,"7,753",89%,3%,0%,0%,0%,1%,0%,6%
Branchburg township,Somerset,"Branchburg township, Somerset",2020,20.3,53,"14,509",83%,5%,9%,3%,5%,"5,413","$146,864",1.6%,,12,518,368,"5,492","5,413",99%,90%,10%,,120,394,"1,496","1,488",742,407,374,136,335,"4,217",561,110,52,97,143,124,188,0,85%,5%,2%,6%,1%,0%,"8,137",87%,3%,0%,0%,0%,0%,0%,9%
Branchville borough,Sussex,"Branchville borough, Sussex",2015,0.6,54,889,95%,3%,2%,1%,3%,310,"$67,308",6.7%,,29,215,61,355,310,87%,66%,34%,,1,12,3,31,21,24,34,22,207,258,13,43,21,14,6,0,0,0,0%,15%,7%,72%,1%,5%,341,88%,0%,0%,0%,0%,8%,0%,4%
Branchville borough,Sussex,"Branchville borough, Sussex",2020,0.6,54,"1,054",97%,3%,0%,0%,3%,394,"$96,563",8.3%,,36,142,61,479,394,82%,67%,33%,,0,8,10,98,29,10,29,46,249,298,20,61,50,50,0,0,0,0,20%,20%,10%,45%,2%,3%,567,88%,0%,0%,0%,0%,1%,1%,10%
Brick township,Ocean,"Brick township, Ocean",2015,32.4,55,"74,991",92%,2%,2%,4%,8%,"29,942","$70,647",6.5%,,27,242,809,"34,259","29,942",87%,84%,16%,,161,"2,174","4,496","7,342","7,444","5,659","5,008","1,005",970,"27,210","3,324",254,411,513,939,"1,484",124,0,81%,13%,1%,4%,1%,0%,"35,977",92%,2%,0%,0%,0%,1%,0%,4%
Brick township,Ocean,"Brick township, Ocean",2020,32.4,55,"75,793",89%,4%,2%,6%,10%,"30,249","$81,330",6.2%,,27,257,809,"33,511","30,249",90%,81%,19%,,928,"1,661","5,051","6,313","7,773","4,811","5,013",972,989,"26,298","3,674",233,367,561,542,"1,711",125,0,82%,14%,1%,2%,0%,1%,"37,287",89%,2%,1%,0%,0%,2%,1%,6%
Bridgeton city,Cumberland,"Bridgeton city, Cumberland",2015,6.5,56,"25,201",36%,35%,0%,28%,49%,"5,969","$36,208",32.0%,Yes,86,4,445,"6,928","5,969",86%,41%,59%,,4,824,178,253,609,"1,001","1,622",856,"1,581","3,070","1,113","1,220",524,341,245,415,0,0,53%,12%,1%,34%,0%,1%,"8,401",87%,1%,0%,0%,0%,4%,7%,0%
Bridgeton city,Cumberland,"Bridgeton city, Cumberland",2020,6.5,56,"24,264",42%,35%,1%,22%,50%,"6,270","$38,319",33.8%,Yes,84,5,445,"7,090","6,270",88%,36%,64%,,81,648,596,185,"1,007",970,"1,079",861,"1,663","2,720","2,124",705,363,367,147,661,3,0,66%,7%,1%,26%,0%,0%,"7,922",85%,4%,1%,0%,0%,3%,4%,4%
Bridgewater township,Somerset,"Bridgewater township, Somerset",2015,32.4,57,"45,120",70%,3%,21%,5%,10%,"15,307","$114,510",3.6%,,15,458,460,"15,868","15,307",97%,84%,16%,,163,941,"4,054","2,643","1,679","3,058","2,046",505,779,"10,860","1,910",257,577,841,489,903,31,0,87%,6%,1%,5%,0%,0%,"22,395",88%,4%,0%,0%,0%,2%,1%,6%
Bridgewater township,Somerset,"Bridgewater township, Somerset",2020,32.4,57,"44,379",68%,3%,24%,6%,9%,"15,277","$138,087",3.3%,,17,441,460,"15,910","15,277",96%,84%,16%,,378,772,"4,353","2,467","1,647","3,277","1,762",474,780,"11,151","1,941",161,528,715,506,899,9,0,86%,9%,1%,3%,0%,1%,"22,218",87%,3%,0%,0%,0%,0%,0%,9%
Brielle borough,Monmouth,"Brielle borough, Monmouth",2015,2.3,58,"4,769",95%,3%,1%,2%,5%,"1,857","$122,416",2.5%,,14,497,84,"2,159","1,857",86%,91%,9%,,54,275,189,353,408,212,384,76,208,"1,694",140,100,151,39,0,12,23,0,92%,5%,0%,2%,0%,0%,"2,192",84%,5%,0%,0%,1%,0%,1%,10%
Brielle borough,Monmouth,"Brielle borough, Monmouth",2020,2.3,58,"4,683",98%,1%,0%,1%,2%,"1,684","$149,015",1.1%,,13,513,84,"1,981","1,684",85%,92%,8%,,125,117,287,256,312,277,270,101,236,"1,571",276,11,72,0,51,0,0,0,91%,6%,0%,3%,0%,0%,"2,184",88%,1%,0%,0%,0%,1%,0%,10%
Brigantine city,Atlantic,"Brigantine city, Atlantic",2015,10.7,59,"9,347",91%,3%,3%,2%,9%,"4,391","$57,031",11.9%,Yes,39,97,112,"9,314","4,391",47%,69%,31%,Yes,76,731,701,"2,799","1,585","1,338","1,460",331,293,"4,528","1,385","1,171",279,409,568,932,42,0,73%,23%,1%,2%,0%,1%,"4,431",86%,6%,1%,0%,0%,1%,1%,4%
Brigantine city,Atlantic,"Brigantine city, Atlantic",2020,10.7,59,"8,725",87%,1%,6%,6%,8%,"4,151","$75,329",10.1%,,31,201,112,"9,472","4,151",44%,71%,29%,Yes,404,889,564,"2,678","1,206","1,242","1,627",346,516,"4,734","1,556",972,602,190,493,925,0,0,76%,20%,0%,1%,0%,2%,"4,230",83%,5%,0%,0%,1%,0%,1%,11%
Brooklawn borough,Camden,"Brooklawn borough, Camden",2015,0.5,60,"1,944",82%,4%,4%,10%,8%,725,"$60,208",15.1%,,45,57,68,796,725,91%,79%,21%,,0,13,4,19,4,79,117,100,460,416,294,45,29,0,0,12,0,0,82%,3%,1%,14%,0%,0%,"1,019",89%,5%,0%,0%,0%,5%,0%,0%
Brooklawn borough,Camden,"Brooklawn borough, Camden",2020,0.5,60,"1,888",81%,10%,4%,5%,9%,813,"$44,805",7.4%,Yes,45,59,68,942,813,86%,82%,18%,,0,5,6,8,14,61,141,120,587,523,348,8,51,12,0,0,0,0,86%,3%,0%,10%,0%,0%,789,86%,4%,0%,1%,0%,7%,1%,1%
Buena borough,Atlantic,"Buena borough, Atlantic",2015,7.6,61,"4,566",76%,3%,0%,21%,30%,"1,835","$46,169",10.9%,Yes,51,36,99,"1,989","1,835",92%,59%,41%,,27,214,172,204,226,200,409,220,317,"1,271",78,311,112,19,29,142,27,0,59%,16%,0%,23%,1%,0%,"1,821",91%,2%,0%,0%,0%,0%,6%,1%
Buena borough,Atlantic,"Buena borough, Atlantic",2020,7.6,61,"4,323",72%,7%,10%,11%,24%,"1,632","$61,914",5.7%,Yes,50,47,99,"1,777","1,632",92%,59%,41%,,89,179,158,230,266,149,252,106,348,"1,233",44,77,91,0,144,188,0,0,59%,23%,0%,16%,0%,1%,"2,190",92%,1%,0%,0%,0%,1%,1%,4%
Buena Vista township,Atlantic,"Buena Vista township, Atlantic",2015,41.6,62,"7,558",76%,11%,3%,11%,14%,"2,954","$50,421",17.5%,Yes,46,48,106,"3,377","2,954",88%,81%,19%,,14,280,328,336,836,565,656,159,203,"2,724",8,146,59,0,0,13,427,0,63%,9%,7%,18%,4%,1%,"3,088",91%,1%,0%,0%,0%,3%,3%,1%
