Municipality,County,Municipality,Year,Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms),Mun_inde
Cape May City,Cape May,"Cape May City, Cape May County",2020,ACE,31399800,44269020,242689,390722,76302231,SJG,1536500,1041271,NULL,NULL,2577770,70
Cape May City,Cape May,"Cape May City, Cape May County",2021,ACE,32685539,46577455,267157,390944,79921095,SJG,1792932,1228516,NULL,NULL,3021449,70
Cape May Point borough,Cape May,"Cape May Point borough, Cape May County",2015,ACE,4478744,1861453,NULL,36678,6376875,SJG,130273,4030,NULL,NULL,134302,71
Cape May Point borough,Cape May,"Cape May Point borough, Cape May County",2016,ACE,4261633,1818022,NULL,36678,6116333,SJG,107546,3666,NULL,NULL,111212,71
Cape May Point borough,Cape May,"Cape May Point borough, Cape May County",2017,ACE,3988133,1757704,NULL,36678,5782515,SJG,121487,3991,NULL,NULL,125478,71
Cape May Point borough,Cape May,"Cape May Point borough, Cape May County",2018,ACE,4565420,1803329,NULL,36678,6405427,SJG,170965,5889,NULL,NULL,176855,71
Cape May Point borough,Cape May,"Cape May Point borough, Cape May County",2019,ACE,4254561,1658202,NULL,36677,5949440,SJG,153320,5294,NULL,NULL,158614,71
Cape May Point borough,Cape May,"Cape May Point borough, Cape May County",2020,ACE,4397526,1756237,NULL,36678,6190441,SJG,147583,3492,NULL,NULL,151075,71
Cape May Point borough,Cape May,"Cape May Point borough, Cape May County",2021,ACE,4644288,1810342,NULL,36679,6491309,SJG,180234,4872,NULL,NULL,185107,71
Carlstadt borough,Bergen,"Carlstadt borough, Bergen County",2015,PSEG,17610778,355910452,48699767,602640,422823637,PSEG,2086828,4135663,2495986,NULL,8718476,72
Carlstadt borough,Bergen,"Carlstadt borough, Bergen County",2016,PSEG,16901648,340991624,46792846,600370,405286488,PSEG,1746442,3627372,2308479,NULL,7682294,72
Carlstadt borough,Bergen,"Carlstadt borough, Bergen County",2017,PSEG,16003467,337546105,48518861,602026,402670459,PSEG,1767415,3857967,2372147,NULL,7997529,72
Carlstadt borough,Bergen,"Carlstadt borough, Bergen County",2018,PSEG,16696343,294097371,99208020,631416,410633150,PSEG,1958377,4526492,2578135,NULL,9063004,72
Carlstadt borough,Bergen,"Carlstadt borough, Bergen County",2019,PSEG,15833252,272794066,118642065,587749,407857132,PSEG,1893197,4198176,2490196,NULL,8581569,72
Carlstadt borough,Bergen,"Carlstadt borough, Bergen County",2020,PSEG,16624547,268515129,106453463,642780,392235919,PSEG,1700202,3595887,2248087,NULL,7544176,72
Carlstadt borough,Bergen,"Carlstadt borough, Bergen County",2021,PSEG,16416822,267266098,106925300,642960,391251180,PSEG,1758958,3940494,2263102,NULL,7962554,72
Carneys Point township,Salem,"Carneys Point township, Salem County",2015,ACE,21773671,35115265,694601,310737,57894274,SJG,1435276,811372,NULL,NULL,2246648,73
Carneys Point township,Salem,"Carneys Point township, Salem County",2016,ACE,21353473,33318425,711807,310737,55694442,SJG,1204463,761191,NULL,NULL,1965654,73
Carneys Point township,Salem,"Carneys Point township, Salem County",2017,ACE,19858048,31432918,2498524,312583,54102073,SJG,1213136,709943,NULL,NULL,1923079,73
Carneys Point township,Salem,"Carneys Point township, Salem County",2018,ACE,20942793,34169718,9443783,315989,64872283,SJG,1465299,842264,NULL,NULL,2307563,73
Carneys Point township,Salem,"Carneys Point township, Salem County",2019,ACE,20477912,33609789,1921136,324171,56333008,SJG,1421615,817334,NULL,NULL,2238949,73
Carneys Point township,Salem,"Carneys Point township, Salem County",2020,ACE,20422729,31609673,4346225,329080,56707707,SJG,1136659,860867,NULL,NULL,1997526,73
Carneys Point township,Salem,"Carneys Point township, Salem County",2021,ACE,20703087,32474204,82754,327661,53587706,SJG,1264270,844572,31,NULL,2108873,73
Carteret borough,Middlesex,"Carteret borough, Middlesex County",2015,PSEG,59610310,136159546,102781862,1650658,300202376,ETG,4711201,3351915,22408,NULL,8085524,74
Carteret borough,Middlesex,"Carteret borough, Middlesex County",2016,PSEG,63775672,137880596,106303585,1705067,309664920,ETG,5037120,3316903,140039,NULL,8494062,74
Carteret borough,Middlesex,"Carteret borough, Middlesex County",2017,PSEG,62317207,145485992,105198586,1731457,314733242,ETG,5227190,3172132,90209,NULL,8489532,74
Carteret borough,Middlesex,"Carteret borough, Middlesex County",2018,PSEG,60239886,152637389,111286807,1781177,325945259,ETG,6109503,3853413,302768,NULL,10265684,74
Carteret borough,Middlesex,"Carteret borough, Middlesex County",2019,PSEG,56895792,146390665,116301221,1770179,321357857,ETG,5553193,3760051,1071532,NULL,10384776,74
Carteret borough,Middlesex,"Carteret borough, Middlesex County",2020,PSEG,59253127,154003790,114091210,1754777,329102904,ETG,8707081,5791725,8930156,NULL,23428962,74
Carteret borough,Middlesex,"Carteret borough, Middlesex County",2021,PSEG,60229708,144821650,122375829,1762436,329189623,ETG,10640242,9176012,4486735,NULL,24302989,74
Cedar Grove township,Essex,"Cedar Grove township, Essex County",2015,PSEG,43753318,38452240,4736274,1176077,88117909,PSEG,5087020,2769656,117543,NULL,7974219,75
Cedar Grove township,Essex,"Cedar Grove township, Essex County",2016,PSEG,42917578,36744713,4624869,1158087,85445247,PSEG,4188151,2406633,93277,NULL,6688061,75
Cedar Grove township,Essex,"Cedar Grove township, Essex County",2017,PSEG,41115187,36521790,4668591,1090417,83395985,PSEG,4438981,2630974,107333,NULL,7177288,75
Cedar Grove township,Essex,"Cedar Grove township, Essex County",2018,PSEG,43672401,37767875,5124948,1192505,87757729,PSEG,5005461,2827806,126022,NULL,7959289,75
Cedar Grove township,Essex,"Cedar Grove township, Essex County",2019,PSEG,41474204,36194213,5063404,1261298,83993119,PSEG,4805960,2660038,136688,NULL,7602686,75
Cedar Grove township,Essex,"Cedar Grove township, Essex County",2020,PSEG,44207263,33320789,4742969,1212322,83483343,PSEG,4470894,2437065,119167,NULL,7027126,75
Cedar Grove township,Essex,"Cedar Grove township, Essex County",2021,PSEG,45997170,34477187,4518822,1161496,86154675,PSEG,4853046,2548601,122926,NULL,7524572,75
Chatham borough,Morris,"Chatham borough, Morris County",2015,JCPL,30330190,25112130,438381,345618,56226319,PSEG,3646908,1375950,49310,NULL,5072168,76
Chatham borough,Morris,"Chatham borough, Morris County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,PSEG,3154003,1244484,42300,NULL,4440786,76
Chatham borough,Morris,"Chatham borough, Morris County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,PSEG,3262005,1266916,45502,NULL,4574422,76
Chatham borough,Morris,"Chatham borough, Morris County",2018,JCPL,29966033,23879969,444367,317640,54608009,PSEG,3706067,1487439,51189,NULL,5244694,76
Chatham borough,Morris,"Chatham borough, Morris County",2019,JCPL,29148561,22905007,481617,317640,52852825,PSEG,3477287,1402607,43239,NULL,4923133,76
Chatham borough,Morris,"Chatham borough, Morris County",2020,JCPL,30055783,19721018,391707,317640,50486148,PSEG,3240315,1183841,41488,NULL,4465644,76
Chatham borough,Morris,"Chatham borough, Morris County",2021,JCPL,31045990,18462988,339308,317640,50165926,PSEG,3412470,1201923,44471,NULL,4658864,76
Chatham township,Morris,"Chatham township, Morris County",2015,JCPL,46985969,20322143,1382573,179697,68870382,PSEG,4571519,908262,5544,NULL,5485326,77
Chatham township,Morris,"Chatham township, Morris County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,PSEG,4007662,850290,5958,NULL,4863911,77
Chatham township,Morris,"Chatham township, Morris County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,PSEG,4202597,839293,5272,NULL,5047162,77
Chatham township,Morris,"Chatham township, Morris County",2018,JCPL,46319828,18571940,1556848,164780,66613396,PSEG,4837731,939060,7087,NULL,5783878,77
Chatham township,Morris,"Chatham township, Morris County",2019,JCPL,44518266,18079696,1586116,179760,64363838,PSEG,4528181,880942,5990,NULL,5415114,77
Chatham township,Morris,"Chatham township, Morris County",2020,JCPL,45795151,17004089,1541309,179760,64520309,PSEG,4288658,785016,5572,NULL,5079246,77
Chatham township,Morris,"Chatham township, Morris County",2021,JCPL,47088272,16538766,1585068,179760,65391866,PSEG,4474503,808726,5694,NULL,5288923,77
Cherry Hill township,Camden,"Cherry Hill township, Camden County",2015,PSEG,269192755,410751522,26157666,3316743,709418686,PSEG/SJG,22906191,13307315,1296671,NULL,37510177,78
Cherry Hill township,Camden,"Cherry Hill township, Camden County",2016,PSEG,264979369,394115725,23869209,3280450,686244753,PSEG/SJG,18887834,11908314,1765387,NULL,32561535,78
Cherry Hill township,Camden,"Cherry Hill township, Camden County",2017,PSEG,250063551,375877413,32717212,3077642,661735818,PSEG/SJG,19606448,11985568,1662142,NULL,33254157,78
Cherry Hill township,Camden,"Cherry Hill township, Camden County",2018,PSEG,262762024,393286915,23950501,3285194,683284634,PSEG/SJG,22942602,14116069,1647316,NULL,38705987,78
Cherry Hill township,Camden,"Cherry Hill township, Camden County",2019,PSEG,253009590,379907520,20049404,3209309,656175823,PSEG/SJG,21188794,12799123,1619570,NULL,35607486,78
Cherry Hill township,Camden,"Cherry Hill township, Camden County",2020,PSEG,257980271,349982056,18660131,3160702,629783160,PSEG/SJG,19472464,11180249,1643857,NULL,32296570,78
Cherry Hill township,Camden,"Cherry Hill township, Camden County",2021,PSEG,261982301,361543305,22800808,3178696,649505110,PSEG/SJG,20998385,12336903,2070830,NULL,35406118,78
Chesilhurst borough,Camden,"Chesilhurst borough, Camden County",2015,ACE,6401082,1453417,27700,63408,7945607,SJG,348848,76986,NULL,NULL,425834,79
Chesilhurst borough,Camden,"Chesilhurst borough, Camden County",2016,ACE,6093197,1430725,25130,63408,7612460,SJG,283521,70356,NULL,NULL,353878,79
Chesilhurst borough,Camden,"Chesilhurst borough, Camden County",2017,ACE,5480490,1454699,28225,63408,7026822,SJG,279959,66148,NULL,NULL,346107,79
Chesilhurst borough,Camden,"Chesilhurst borough, Camden County",2018,ACE,5910047,1574078,24944,63408,7572477,SJG,315261,79345,NULL,NULL,394606,79
Chesilhurst borough,Camden,"Chesilhurst borough, Camden County",2019,ACE,5490931,1577363,21629,63409,7153332,SJG,316110,83536,NULL,NULL,399647,79
Chesilhurst borough,Camden,"Chesilhurst borough, Camden County",2020,ACE,5681425,1622919,20099,63408,7387851,SJG,302546,87213,NULL,NULL,389759,79
Chesilhurst borough,Camden,"Chesilhurst borough, Camden County",2021,ACE,5701710,1623089,21482,63410,7409691,SJG,317822,80007,NULL,NULL,397829,79
Chester borough,Morris,"Chester borough, Morris County",2015,JCPL,7608932,20934762,90731,61282,28695707,PSEG,904727,809541,3192,NULL,1717459,80
Chester borough,Morris,"Chester borough, Morris County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,PSEG,838627,731426,2835,NULL,1572888,80
Chester borough,Morris,"Chester borough, Morris County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,PSEG,868489,761327,2675,NULL,1632491,80
Chester borough,Morris,"Chester borough, Morris County",2018,JCPL,7396766,19541971,99949,56568,27095254,PSEG,977970,858801,3245,NULL,1840015,80
Chester borough,Morris,"Chester borough, Morris County",2019,JCPL,7285587,19443996,69708,56568,26855859,PSEG,912074,832981,2884,NULL,1747939,80
Chester borough,Morris,"Chester borough, Morris County",2020,JCPL,7528755,17913544,127893,56568,25626760,PSEG,832897,737824,2414,NULL,1573135,80
Chester borough,Morris,"Chester borough, Morris County",2021,JCPL,7612214,17937874,102561,56568,25709217,PSEG,869059,762770,3169,NULL,1634998,80
Chester township,Morris,"Chester township, Morris County",2015,JCPL,44342662,12661549,5078,15480,57024769,PSEG,3172924,231644,NULL,NULL,3404568,81
Chester township,Morris,"Chester township, Morris County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,PSEG,2889303,209812,NULL,NULL,3099115,81
Chester township,Morris,"Chester township, Morris County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,PSEG,3000670,215532,NULL,NULL,3216202,81
Chester township,Morris,"Chester township, Morris County",2018,JCPL,42674577,12010883,10739,15480,54711679,PSEG,3479094,266185,NULL,NULL,3745279,81
Chester township,Morris,"Chester township, Morris County",2019,JCPL,42091003,12460023,12112,15480,54578618,PSEG,3326155,250276,NULL,NULL,3576431,81
Chester township,Morris,"Chester township, Morris County",2020,JCPL,42635686,11678113,13506,15480,54342785,PSEG,3095713,219827,NULL,NULL,3315540,81
Chester township,Morris,"Chester township, Morris County",2021,JCPL,43697778,10944791,10641,15480,54668690,PSEG,3200595,226868,NULL,NULL,3427464,81
Chesterfield township,Burlington,"Chesterfield township, Burlington County",2015,PSEG/JCPL,21307038,20758529,30685073,280276,73030916,PSEG,1249011,2558130,NULL,NULL,3807140,82
Chesterfield township,Burlington,"Chesterfield township, Burlington County",2016,PSEG/JCPL,19790601,18037424,24078802,281232,62188059,PSEG,1187946,1332365,NULL,NULL,2520311,82
Chesterfield township,Burlington,"Chesterfield township, Burlington County",2017,PSEG/JCPL,19116994,17573477,20671607,238027,57600105,PSEG,1223257,3020399,NULL,NULL,4243656,82
Chesterfield township,Burlington,"Chesterfield township, Burlington County",2018,PSEG/JCPL,22475003,22668732,266,323077,45467078,PSEG,1468557,3159752,NULL,NULL,4628309,82
Chesterfield township,Burlington,"Chesterfield township, Burlington County",2019,PSEG/JCPL,21838248,20595740,40966353,356965,83757306,PSEG,1414451,3363799,NULL,NULL,4778250,82
Chesterfield township,Burlington,"Chesterfield township, Burlington County",2020,PSEG/JCPL,22540581,17636796,14655139,337556,55170072,PSEG,1321408,718850,NULL,NULL,2040259,82
Chesterfield township,Burlington,"Chesterfield township, Burlington County",2021,PSEG/JCPL,22756476,25145268,2922253,343863,51167860,PSEG,1396974,346453,NULL,NULL,1743427,82
Cinnaminson township,Burlington,"Cinnaminson township, Burlington County",2015,PSEG,60713656,66818358,3992761,1328357,132853132,PSEG,5159213,2379351,146492,NULL,7685056,83
Cinnaminson township,Burlington,"Cinnaminson township, Burlington County",2016,PSEG,60710819,66281040,3465530,1254367,131711756,PSEG,4713224,2071761,105198,NULL,6890183,83
Cinnaminson township,Burlington,"Cinnaminson township, Burlington County",2017,PSEG,55726374,66334132,3427649,1282864,126771019,PSEG,4753780,2188321,100747,NULL,7042849,83
Cinnaminson township,Burlington,"Cinnaminson township, Burlington County",2018,PSEG,62411034,67781961,4572994,1447868,136213857,PSEG,5642630,2492780,716802,NULL,8852211,83
Cinnaminson township,Burlington,"Cinnaminson township, Burlington County",2019,PSEG,58121755,65518180,4955475,1225665,129821075,PSEG,5080077,2206645,970725,NULL,8257447,83
Cinnaminson township,Burlington,"Cinnaminson township, Burlington County",2020,PSEG,59762572,59692127,5189087,1325092,125968878,PSEG,4578067,1924155,696528,NULL,7198750,83
Cinnaminson township,Burlington,"Cinnaminson township, Burlington County",2021,PSEG,60817015,61275990,5223526,1329342,128645873,PSEG,4819460,2095283,893898,NULL,7808641,83
City of Orange township,Essex,"City of Orange township, Essex County",2015,PSEG,57734737,68143058,6865231,3646625,136389651,PSEG,6663623,6054477,240344,NULL,12958445,84
City of Orange township,Essex,"City of Orange township, Essex County",2016,PSEG,58654218,62633290,5278796,4080106,130646410,PSEG,6104703,5385666,220622,NULL,11710991,84
City of Orange township,Essex,"City of Orange township, Essex County",2017,PSEG,56161292,61603356,5321591,3242155,126328394,PSEG,6182905,5394896,415895,NULL,11993696,84
City of Orange township,Essex,"City of Orange township, Essex County",2018,PSEG,60288874,64743367,3930332,4111187,133073760,PSEG,7001532,6271265,306749,NULL,13579546,84
City of Orange township,Essex,"City of Orange township, Essex County",2019,PSEG,59245076,65155486,2687309,3871827,130959698,PSEG,6794152,5884815,330907,NULL,13009874,84
City of Orange township,Essex,"City of Orange township, Essex County",2020,PSEG,61582082,60329343,2698591,4048833,128658849,PSEG,6343106,5654386,217386,NULL,12214877,84
City of Orange township,Essex,"City of Orange township, Essex County",2021,PSEG,62965274,61318942,2659904,3896536,130840656,PSEG,6683478,5685424,165786,NULL,12534688,84
Clark township,Union,"Clark township, Union County",2015,PSEG,52336100,56382698,11964087,1089108,121771993,ETG,4171841,2784895,NULL,NULL,6956736,85
Clark township,Union,"Clark township, Union County",2016,PSEG,52789971,61686231,10475294,1076837,126028333,ETG,4369027,2925672,NULL,NULL,7294699,85
Clark township,Union,"Clark township, Union County",2017,PSEG,50214049,62959678,9917165,971466,124062358,ETG,4580773,3139426,NULL,NULL,7720200,85
Clark township,Union,"Clark township, Union County",2018,PSEG,52856337,63654283,13215719,1180775,130907114,ETG,5101594,3287761,420690,NULL,8810045,85
Clark township,Union,"Clark township, Union County",2019,PSEG,50536547,61619138,14726130,1114303,127996118,ETG,4778868,2794943,844478,NULL,8418289,85
Clark township,Union,"Clark township, Union County",2020,PSEG,52237069,58343872,15984850,1109498,127675289,ETG,7222387,4246720,2394338,NULL,13863445,85
Clark township,Union,"Clark township, Union County",2021,PSEG,52694607,58818797,14597202,1088632,127199238,ETG,9210957,4904148,2635313,NULL,16750418,85
Clayton borough,Gloucester,"Clayton borough, Gloucester County",2015,ACE,29559360,12102228,16293674,211828,58167090,SJG,2044303,953700,912783,NULL,3910786,86
Clayton borough,Gloucester,"Clayton borough, Gloucester County",2016,ACE,28590501,11986502,15368314,208709,56154026,SJG,1733207,809357,851257,NULL,3393821,86
Clayton borough,Gloucester,"Clayton borough, Gloucester County",2017,ACE,26385399,11963602,15773731,201004,54323736,SJG,1740938,755218,919826,NULL,3415982,86
Clayton borough,Gloucester,"Clayton borough, Gloucester County",2018,ACE,28379103,12467368,15555287,201476,56603234,SJG,2090015,858376,900227,NULL,3848618,86
Clayton borough,Gloucester,"Clayton borough, Gloucester County",2019,ACE,27135537,12920747,14371565,201953,54629802,SJG,1934279,789515,949540,NULL,3673334,86
Clayton borough,Gloucester,"Clayton borough, Gloucester County",2020,ACE,27342825,11238218,13547922,181070,52310035,SJG,1840588,661503,974185,NULL,3476276,86
Clayton borough,Gloucester,"Clayton borough, Gloucester County",2021,ACE,27666290,11883250,14322104,172129,54043773,SJG,1952686,700796,932320,NULL,3585803,86
Clementon borough,Camden,"Clementon borough, Camden County",2015,ACE,50287214,24386030,271905,268333,75213482,SJG,1029852,480992,NULL,NULL,1510844,87
